,MAE,MSE,RMSE,MAPE,R2
XGBoost,5.73796925933767,54.2799775976138,7.367494662204636,0.9096882903929444,0.9992994687611418
Random Forest,5.904481168082729,61.4346320820514,7.838024756407153,0.9465881578072581,0.9992071316012642
LightGBM,6.071180914349935,63.32265946981562,7.957553610866572,0.9625747974226908,0.9991827649337841
LSTM,8.064544222460482,104.73604762475641,10.23406310439585,1.2710604832706518,0.9986482884399919
MLP,11.023802340440888,235.82044962021985,15.356446516698446,1.8033692267508596,0.996956528004761
SVR,13.144223446522636,259.2691440285343,16.101836666310284,2.152505759423176,0.9966539018123695
ARIMA,53.05062840141354,5079.606302288102,71.27135681525995,7.199713509940618,0.9344431767781354
